report_id,terminal_outcome,terminal_stage,failure_code
1597Id8743JAsW3SHd_3WWngRk6X726VX,publish_ready,ingestion,html_exists
166LocR4HCDzBwTfl1dOf6YIdxQZd_u4K,publish_ready,ingestion,html_exists
1BKhlmuwCgFMbADrdvP8tB-EvGHFgc7uF,publish_ready,ingestion,html_exists
1IEcPHWWv97RKsUCF1Qzt2BH7T54aDeq1,publish_ready,ingestion,html_exists
1LylPDHZYO6pHhUHA-jxNBbflfc1Fr7nC,publish_ready,ingestion,html_exists
1NY43tL30T-fd44U6i5-ZznkAx0LQSkDQ,publish_ready,ingestion,html_exists
1PoXml-tpkL2VDMUgxtj0Tx2e46jccDKW,publish_ready,ingestion,html_exists
1Qz2Eay-EiRMMcygOTT9cD_C4_PiMPUpp,permanent_failure,ingestion,publish_readiness_failed
1USCHRNH8yLwKgWFGFp_bU7hfZBeVfv3n,publish_ready,ingestion,html_exists
1V8a4cBK4U3VNAAJVVZsoTnxJib9rmpjW,publish_ready,ingestion,html_exists
1bU1ji5HVxHwPxtdT365UVZ5N10zy0dCE,publish_ready,ingestion,html_exists
1eD6vUZEICQWi6cI8uKNZuL1idkv-kAfk,publish_ready,ingestion,html_exists
1f0jh1SIfd39hxQN21wvQT0mH2IgGklbu,publish_ready,ingestion,html_exists
1hkdASxtqI_n27kMgLtlHN6uXxB4XxvxZ,publish_ready,ingestion,html_exists
1injIblyoZsMhFhcsDxFw8uk0IsWHRQmh,permanent_failure,ingestion,publish_readiness_failed
1iwZS85W9sg1rYwLikwgmi0vmtyh6lUnO,publish_ready,ingestion,html_exists
1ojaFaRfntjV4BUHPlgrVedwQQ5ycyzeh,publish_ready,ingestion,html_exists
1pL6t1hhdun3Iqenliwi-odc2Rr-EHKx4,publish_ready,ingestion,html_exists
1vTf0IkhAnB2XHQQmR0-HcoQeEEslv7M2,publish_ready,ingestion,html_exists
1y5uWIo-HpEOojg4vdc9dW1e28KIN2z85,publish_ready,ingestion,html_exists
